Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Region,Continent,Origin,Associated Disaster,OFDA Response,Disaster Magnitude Value,Latitude,Longitude,Start Year,End Year,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",Country,Location
1987,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",,7,-8247,124155,1987,1987,125,100,16000,1000,17100,5000,11924,Indonesia,South Pantar Island 
1987,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,,Wildfire,,,,,1987,1987,,,,,,,,Indonesia,Java
1987,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,2244,98866,1987,1987,2,1,15000,,15001,,,Indonesia,Tarutung (North Sumatra)
1987,Natural,Geophysical,Mass movement (dry),Landslide,IDN,South-Eastern Asia,Asia,,,Yes,,,,1987,1987,131,50,651,,701,1000,2385,Indonesia,West Sumatra
1987,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,,,13000,,13000,,,Indonesia,Flores Island
1987,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,3,,26000,,26000,1700,4054,Indonesia,Esatern Java
1987,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,25,,,,,,,Indonesia,Medan 
1987,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,41,,,,,,,Indonesia,Surabaya
1987,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,55,,,,,,,Indonesia,Paniai Regency
1987,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,153,300,,,300,,,Indonesia,Jakarta
1987,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,20,,,,,,,Indonesia,Kediri
1987,Technological,Technological,Industrial accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,30,,,,,,,Indonesia,Jakarta
1987,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,37,,,,,4000,9539,Indonesia,Bengkulu (South Sumatra)
1987,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,38,84,,800,884,,,Indonesia,West Sumatra
1987,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,119,,,,,60000,143086,Indonesia,Esp. Polmas
1987,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,119,,,,,60000,143086,Indonesia, Pinrang (Sulawesi)
1987,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1987,1987,4,,2000,,2000,,,Indonesia,Aceh province (North Sumatra)
1988,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,Yes,,,,1988,1988,7,,7500,2500,10000,,,Indonesia,Moluccas
1988,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1988,1988,,,1570,,1570,,,Indonesia,Makian Island
1988,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,,,,1988,1988,158,,100000,,100000,4600,10540,Indonesia,Central & West Java
1988,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,,,,1988,1988,158,,100000,,100000,4600,10540,Indonesia, Sumatra
1988,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,,,,1988,1988,158,,100000,,100000,4600,10540,Indonesia, Kalimantan
1988,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,,,,,1988,1988,21,,,,,,,Indonesia,Flores Island
1988,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1988,1988,43,,,,,,,Indonesia,Java
1988,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1988,1988,200,,,,,,,Indonesia,Bangkalan (Near Madura)
1988,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1988,1988,46,,,,,,,Indonesia,Masalembo Island
1989,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",Yes,6,-4511,139022,1989,1989,120,196,17000,,17196,,,Indonesia,Irian Jaya
1989,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",Yes,6,-4511,139022,1989,1989,120,196,17000,,17196,,,Indonesia, Jayawijaya districts
1989,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,5,1031,126189,1989,1989,,,,5500,5500,,,Indonesia,Morotai
1989,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,5,1031,126189,1989,1989,,,,5500,5500,,,Indonesia, Tanawangu (Molucca passage)
1989,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-8081,125129,1989,1989,,7,190,,197,,,Indonesia,Alor (Timor)
1989,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1989,1989,,,3000,,3000,,,Indonesia,Noongan
1989,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1989,1989,6,6,11595,,11601,341,745,Indonesia,Solok
1989,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1989,1989,22,,,,,,,Indonesia,Irian Jaya Province
1989,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,1989,1989,18,44,,,44,,,Indonesia,South Kalimantan
1989,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,1989,1989,25,,,,,,,Indonesia,Java Island
1989,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1989,1989,150,,,,,,,Indonesia,Bali coast
1989,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1989,1989,127,,,,,,,Indonesia,Madura Straits (Java coast)
1989,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1989,1989,,,29000,,29000,,,Indonesia,Madiun Regency (East Java)
1989,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1989,1989,18,,32500,,32500,,,Indonesia,Ambon (Malucu Island)
1990,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,Broken Dam/Burst bank,Yes,23640,,,1990,1990,169,,21000,,21000,4800,9955,Indonesia,Bangkejeren
1990,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",,6,3.908 N,97.457 E,1990,1990,1,32,2140,,2172,2100,4355,Indonesia,Bangkejeren
1990,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,8,1186,122857,1990,1990,5,36,7000,,7036,,,Indonesia,Minahassa Peninsula
1990,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,9.904 S,101.120 E,1990,1990,,103,,,103,,,Indonesia,Kuningan
1990,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,9.904 S,101.120 E,1990,1990,,103,,,103,,,Indonesia, Majalenga
1990,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,9.904 S,101.120 E,1990,1990,,103,,,103,,,Indonesia, Sumedang area (Java)
1990,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,Yes,,7.9 S,112.3 E,1990,1990,33,,10265,,10265,8000,16591,Indonesia,East Java
1990,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1990,1990,50,,,,,,,Indonesia,Moluccan Island
1990,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,1990,1990,36,,,,,,,Indonesia,Java Island
1990,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1990,1990,76,,,,,,,Indonesia,Lac De Sulawesi
1990,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1990,1990,130,,,,,,,Indonesia,Bali
1990,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1990,1990,22,,,,,,,Indonesia,Bogor (Jakarta)
1991,Natural,Climatological,Wildfire,Forest fire,IDN,South-Eastern Asia,Asia,Prolonged drought,Pollution,,1000,,,1991,1991,57,8,,,8,13200,26263,Indonesia,Borneo
1991,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,1.196 N,122.787 E,1991,1991,,,1000,,1000,,,Indonesia,Gorontalo area (Minahassa Peninsula)
1991,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,Yes,7,8.099 S,125.681 E,1991,1991,28,191,15000,1000,16191,18000,35813,Indonesia,Kalabahi (Alors district
1991,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,Yes,7,8.099 S,125.681 E,1991,1991,28,191,15000,1000,16191,18000,35813,Indonesia, Timor)
1991,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,1.36 N,124.79 E,1991,1991,,,7679,,7679,1000,1990,Indonesia,Minahasa
1991,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,97,,,,,,,Indonesia,Kalimatan province
1991,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,,,,1991,1991,15,,240000,,240000,14800,29446,Indonesia,Lampung provinces
1991,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,33,,,,,,,Indonesia,Java
1991,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,55,,6000,,6000,,,Indonesia,Aceh province (North Sumatra)
1991,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,48,,,,,,,Indonesia,Bali
1991,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,35,,,,,,,Indonesia,Sumatra Centrale
1991,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,41,,,,,,,Indonesia,Java
1991,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,13,,,,,,,Indonesia,Klabat mountain (North Sulawesi)
1991,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,133,,,,,,,Indonesia,Jakarta
1991,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,10,27,,,27,,,Indonesia,Java
1991,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,63,,,,,,,Indonesia,Mahalayu Lake (Central Java)
1991,Technological,Technological,Miscellaneous accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,38,,,,,,,Indonesia,Irian jaya
1991,Natural,Biological,Epidemic,,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,115,,9000,,9000,,,Indonesia,Aceh province (North Sumatra)
1991,Natural,Biological,Epidemic,,IDN,South-Eastern Asia,Asia,,,,,,,1991,1991,115,,9000,,9000,,,Indonesia, Kalimatan
1992,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,Yes,8,8.482 S,121.930 E,1992,1992,2500,2103,,90000,92103,100000,193113,Indonesia,Sikka
1992,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,5,7.138 S,109.067 E,1992,1992,,1,,7500,7501,,,Indonesia,Brebes area (Java
1992,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,5,7.138 S,109.067 E,1992,1992,,1,,7500,7501,,,Indonesia, Sulawesi)
1992,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1992,1992,75,,37000,,37000,5400,10428,Indonesia,Tasikmalaya
1992,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1992,1992,31,,,,,,,Indonesia,Mont Papan-Dayan (Java)
1992,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1992,1992,70,,,,,,,Indonesia,Ambon Island
1992,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,1992,1992,34,7,,,7,,,Indonesia,Near Lancibung
1992,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1992,1992,42,,,,,,,Indonesia,Malaka Detroit
1992,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1992,1992,69,,,,,,,Indonesia,Near Bali
1992,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,1992,1992,32,32,,,32,,,Indonesia,Sumatra
1992,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,122,,,1992,1992,57,249378,9330,6845,265553,,,Indonesia,Trenggalek (East Java)
1993,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1993,1993,1,12,3000,,3012,,,Indonesia,Maluku Province
1993,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,6.3 S,106 E,1993,1993,2,,452,,452,,,Indonesia,Sangir Talaud Island
1993,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,,,4050,,,1993,1993,72,,8000,,8000,,,Indonesia,Tanggerang
1993,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,,,4050,,,1993,1993,72,,8000,,8000,,,Indonesia, Serang and Lebak districts (West Java Province)
1993,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Monsoonal rain,,,19200,,,1993,1993,59,,259553,,259553,19301,36204,Indonesia,East Java
1993,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1993,1993,17,27,,,27,,,Indonesia,Surabaya
1993,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1993,1993,41,2,,,2,,,Indonesia,Sorong (Irian Jaya Province)
1993,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1993,1993,16,,,,,,,Indonesia,North Sumatra
1993,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1993,1993,21,,,,,,,Indonesia,Mer de Java
1993,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1993,1993,35,,,,,,,Indonesia,Mer de Java
1993,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1993,1993,23,,,,,,,Indonesia,Java
1993,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1993,1993,20,,,,,,,Indonesia,Detroit de Malacca
1993,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1993,1993,,,,,,,,Indonesia,Detroit de Malacca
1993,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,1993,1993,65,75,,,75,,,Indonesia,Depok
1993,Technological,Technological,Industrial accident,Collapse,IDN,South-Eastern Asia,Asia,,,,,,,1993,1993,,,,,,13000,24385,Indonesia,Tembagapura (Irian Jaya province)
1994,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",Yes,7,4.967 S,104.302 E,1994,1994,207,1449,37620,10330,49399,170476,311647,Indonesia,Lampung Province (
1994,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,1.015 N,127.733 E,1994,1994,7,40,200000,,200040,,,Indonesia,Java region
1994,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,,,,1994,1994,4,,30000,,30000,1900,3473,Indonesia,City of Bandung (West Java)
1994,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,7,10.20 S,13.2 E,1994,1994,239,440,8280,,8720,2200,4022,Indonesia,South Java
1994,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,6,1.14 S,128.5 E,1994,1994,1,52,2385,,2437,,,Indonesia,North Maluku 
1994,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,2.001 S,135.931 E,1994,1994,,28,39,,67,,,Indonesia,Denpasar
1994,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,8.1 S,112.9 E,1994,1994,7,,2000,,2000,,,Indonesia,Eastern Java
1994,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1994,1994,31,,,,,,,Indonesia,Lombok (West Nusa Tenggara province)
1994,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,7.5 S,110.4 E,1994,1994,58,22,2700,,2722,,,Indonesia,Java Island
1994,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,36280,,,1994,1994,33,,187131,,187131,18145,33171,Indonesia,Ngawi
1994,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,1820,,,1994,1994,5,,50000,,50000,1700,3108,Indonesia,West Nusa Tengarra province
1994,Natural,Climatological,Wildfire,Forest fire,IDN,South-Eastern Asia,Asia,,,,1360,,,1994,1994,,,3000000,,3000000,,,Indonesia,Java Island
1994,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1994,1994,10,,,,,,,Indonesia,West Kalimantan Province
1994,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1994,1994,12,,,,,,,Indonesia,Central Sulawesi
1994,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1994,1994,37,,,,,,,Indonesia,Bali
1994,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,1994,1994,10,122,,,122,,,Indonesia,Bali
1994,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1994,1994,8,,,1000,1000,,,Indonesia,Simalungun District
1994,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1994,1994,3,,60000,,60000,,,Indonesia,Riau Province
1994,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1994,1994,6,,640,,640,1500,2742,Indonesia,Pesisir Selaten (West Sumatra province)
1995,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",,7,40.1 N,21.6 E,1995,1995,15,26,150,,176,,,Indonesia,Dili
1995,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",,7,40.1 N,21.6 E,1995,1995,15,26,150,,176,,,Indonesia, Maliana
1995,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",,7,40.1 N,21.6 E,1995,1995,15,26,150,,176,,,Indonesia, Mauraba (East Timor)
1995,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",Yes,7,2.1 S,101.3 E,1995,1995,84,1868,52665,35685,90218,,,Indonesia,Airhangat
1995,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,1.02 S,120.5 E,1995,1995,,38,1500,,1538,,,Indonesia,Parigi
1995,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,,,,10,,,1995,1995,27,,2200,,2200,,,Indonesia,Bengkulu (Northern Sumatra)
1995,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,,,,,1995,1995,3,,3000,,3000,,,Indonesia,Riau
1995,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,9,,,1995,1995,47,,26000,10000,36000,400,711,Indonesia,Java
1995,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,9,,,1995,1995,47,,26000,10000,36000,400,711,Indonesia, Sumatra
1995,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,,,,,1995,1995,45,,17500,,17500,,,Indonesia,Tapanuli
1995,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,,,,,1995,1995,45,,17500,,17500,,,Indonesia, Karo (North Sumatera)
1995,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Continous rainfall,,Yes,550,,,1995,1996,18,472,201000,,201472,50000,88911,Indonesia,North Aceh Provinces
1995,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,1995,1995,17,86,,,86,,,Indonesia,Tasikmalaya
1995,Technological,Technological,Industrial accident,Explosion,IDN,South-Eastern Asia,Asia,,,,,,,1995,1995,22,50,,,50,,,Indonesia,Brebes (Central Java)
1995,Technological,Technological,Industrial accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,1995,1995,,,500,,500,35000,62237,Indonesia,Cilacap (Java)
1996,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,7,0.729,119931,1996,1996,9,,,13000,13000,1200,2073,Indonesia,North of Palu
1996,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,Yes,8,1.1,137.15,1996,1996,166,423,20125,5090,25638,4200,7256,Indonesia,Biak (Iran Jaya)
1996,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,11940,,,1996,1996,13,7,5000,,5007,300,518,Indonesia,Central Java province
1996,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,1996,1996,20,,556000,,556000,434800,751148,Indonesia,Jakarta
1996,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,67730,,,1996,1996,34,21,506,,527,430,743,Indonesia,South Sumatra
1996,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,,,,,1996,1996,6,,252965,,252965,126900,219229,Indonesia,Jakarta
1996,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1996,1996,23,4,,,4,,,Indonesia,Batam Islanf
1996,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,,,,1996,1996,117,,5373,,5373,,,Indonesia,Java Island
1996,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1996,1996,15,,,,,,,Indonesia,Bandung
1996,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1996,1996,17,,,,,,,Indonesia,Jawa
1996,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,1996,1996,31,,,,,,,Indonesia,Bogor
1996,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,1996,1996,20,7,,,7,,,Indonesia,Rajanthan
1996,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1996,1996,338,,,,,,,Indonesia,Bogor
1996,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,1996,1996,12,11,,,11,,,Indonesia,Java Province
1996,Technological,Technological,Miscellaneous accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,1996,1996,10,,,,,,,Indonesia,Bogor
1996,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1996,1996,14,,10000,,10000,,,Indonesia,Piddie
